id,text,subject,length,complexity,demand,price,keywords
1155,organic reaction mechanism,chemistry,3,1.1,1.07,96.78,"organic,reaction,mechanism"
1156,stoichiometry titration problem detailed explanation,chemistry,5,1.24,0.89,103.32,"stoichiometry,titration,problem,detailed,explanation"
1157,organic reaction mechanism,chemistry,3,2.99,0.77,194.0,"organic,reaction,mechanism"
1158,geometry theorems proof,math,3,1.42,0.98,122.79,"geometry,theorems,proof"
1159,quantum basics question detailed explanation detailed explanation,physics,7,0.7,0.79,93.28,"quantum,basics,question,detailed,explanation"
1160,optics refraction question solve step by step solve step by step,physics,11,2.3,2.45,200.89,"optics,refraction,question,solve,step"
1161,linear algebra matrix explain with example,math,6,2.87,1.16,189.77,"linear,algebra,matrix,explain,with,example"
1162,stoichiometry titration problem detailed explanation detailed explanation,chemistry,7,1.13,0.66,103.11,"stoichiometry,titration,problem,detailed,explanation"
1163,algebra equation solving solve step by step detailed explanation,math,9,2.75,1.25,200.88,"algebra,equation,solving,solve,step,detailed,explanation"
1164,thermodynamics law application solve step by step show steps,physics,9,2.65,1.49,195.67,"thermodynamics,law,application,solve,step,show,steps"
1165,data structures stack queue explain solve step by step,cs,9,1.11,2.23,136.02,"data,structures,stack,queue,explain,solve,step"
1166,periodic trends question with example,chemistry,5,3.31,1.25,221.51,"periodic,trends,question,with,example"
1167,mechanics motion problem with example,physics,5,1.55,1.67,140.21,"mechanics,motion,problem,with,example"
1168,periodic trends question with example,chemistry,5,1.73,2.11,155.04,"periodic,trends,question,with,example"
1169,graph theory shortest path,cs,4,1.83,1.03,131.62,"graph,theory,shortest,path"
1170,geometry theorems proof with example show steps,math,7,2.86,2.35,215.97,"geometry,theorems,proof,with,example,show,steps"
1171,geometry theorems proof,math,3,2.14,1.17,159.9,"geometry,theorems,proof"
1172,chemical bonding explanation detailed explanation show steps,chemistry,7,1.32,1.91,148.16,"chemical,bonding,explanation,detailed,show,steps"
1173,organic reaction mechanism solve step by step,chemistry,7,1.54,2.49,169.72,"organic,reaction,mechanism,solve,step"
1174,differential equations solve with example show steps,math,7,0.95,1.3,102.04,"differential,equations,solve,with,example,show,steps"
1175,electric circuits problem,physics,3,2.05,2.07,175.05,"electric,circuits,problem"
1176,sorting algorithm explanation,cs,3,1.44,0.88,121.0,"sorting,algorithm,explanation"
1177,dynamic programming example with example,cs,5,2.18,1.25,165.55,"dynamic,programming,example,with"
1178,thermodynamics law application explain detailed explanation,physics,6,3.0,1.18,203.98,"thermodynamics,law,application,explain,detailed,explanation"
1179,data structures stack queue solve step by step,cs,8,0.57,2.07,114.34,"data,structures,stack,queue,solve,step"
1180,thermodynamics law application show steps show steps,physics,7,2.32,2.23,204.2,"thermodynamics,law,application,show,steps"
1181,electric circuits problem,physics,3,2.1,0.88,140.77,"electric,circuits,problem"
1182,sorting algorithm explanation,cs,3,1.01,1.85,107.05,"sorting,algorithm,explanation"
1183,graph theory shortest path,cs,4,1.1,2.32,127.12,"graph,theory,shortest,path"
1184,optics refraction question show steps,physics,5,0.71,0.61,78.07,"optics,refraction,question,show,steps"
1185,thermodynamics law application solve step by step,physics,7,3.47,0.76,221.07,"thermodynamics,law,application,solve,step"
1186,differential equations solve,math,3,0.89,0.91,87.34,"differential,equations,solve"
1187,dynamic programming example with example solve step by step,cs,9,1.11,1.93,131.28,"dynamic,programming,example,with,solve,step"
1188,mechanics motion problem,physics,3,1.84,2.15,163.1,"mechanics,motion,problem"
1189,quantum basics question detailed explanation,physics,5,3.14,1.42,216.92,"quantum,basics,question,detailed,explanation"
1190,geometry theorems proof detailed explanation with example,math,7,2.6,1.92,198.35,"geometry,theorems,proof,detailed,explanation,with,example"
1191,electric circuits problem,physics,3,1.04,1.74,111.44,"electric,circuits,problem"
1192,dynamic programming example with example solve step by step,cs,9,3.34,0.98,232.01,"dynamic,programming,example,with,solve,step"
1193,acid base titration show steps,chemistry,5,0.7,1.95,112.04,"acid,base,titration,show,steps"
1194,recursion tree problem explain solve step by step,cs,8,2.77,1.51,210.29,"recursion,tree,problem,explain,solve,step"
1195,recursion tree problem,cs,3,1.26,1.51,118.44,"recursion,tree,problem"
1196,differential equations solve solve step by step,math,7,1.7,0.89,127.56,"differential,equations,solve,step"
1197,organic reaction mechanism detailed explanation solve step by step,chemistry,9,2.75,1.47,196.26,"organic,reaction,mechanism,detailed,explanation,solve,step"
1198,electric circuits problem,physics,3,1.91,1.06,135.93,"electric,circuits,problem"
1199,linear algebra matrix,math,3,1.03,0.75,97.33,"linear,algebra,matrix"
1200,mechanics motion problem show steps show steps,physics,7,0.96,1.22,100.73,"mechanics,motion,problem,show,steps"
